index,name,min,max,mean,main FWL,interactions FWL,main MEANPERMMULT,interactions MEANPERMMULT,main AZIMUTH,interactions AZIMUTH,main RANGE_PAR,interactions RANGE_PAR,main MULTFLT_F1,interactions MULTFLT_F1,main MULTZ_MIDREEK,interactions MULTZ_MIDREEK
2000-01-01,FOPT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-01,FOPT,900429.1,2022804.5,1821300.2,1327720.5,1116199.0,167888.5,114457.6,1010601.3,1262311.8,908911.5,1396000.4,844.65,1231.4,10.1,211.1
2002-01-01,FOPT,1161664.8,5060090.5,3595926.9,3439176.1,2541439.9,398770.5,180225.4,1822840.3,1822908.7,1506246.1,1900671.3,5093.1,4597.0,7413.1,3098.9
2003-01-01,FOPT,2150000.5,7102369.0,4919365.7,5311292.8,2836076.4,598481.5,201267.2,2869195.5,2833047.4,2000438.5,1933889.5,12363.55,13793.5,322.3,5619.7
